arco_codigo,arco_codMunicipio,arco_codCultivo,arco_anio,arco_semestre,arco_HasTotalPlantada,arco_HasNuevas,arco_HasRenovadas,arco_HasCosechadas,arco_toneladasProduccion,arco_rendimiento,arco_precioProductor,arco_precioPromedioProduccion,arco_costoPromedioEstablecimiento,arco_costoPromedioSostenimiento
,41357,20,2015,,17.00,,,14.00,98.00,,,,,
,41359,20,2015,,0.00,,,0.00,0.00,,,,,
,41378,20,2015,,0.00,,,0.00,0.00,,,,,
,41396,20,2015,,31.00,,,27.50,220.00,,,,,
,41483,20,2015,,6.00,,,4.00,32.00,,,,,
,41001,20,2015,,22.00,,,19.00,190.00,,,,,
,41503,20,2015,,2.00,,,0.00,0.00,,,,,
,41518,20,2015,,0.00,,,0.00,0.00,,,,,
,41524,20,2015,,11.00,,,8.00,52.00,,,,,
,41530,20,2015,,0.00,,,0.00,0.00,,,,,
,41548,20,2015,,15.00,,,1.00,6.00,,,,,
,41551,20,2015,,6.00,,,0.00,0.00,,,,,
,41615,20,2015,,17.50,,,10.50,73.50,,,,,
,41660,20,2015,,3.00,,,0.00,0.00,,,,,
,41668,20,2015,,0.00,,,0.00,0.00,,,,,
,41676,20,2015,,0.00,,,0.00,0.00,,,,,
,41770,20,2015,,15.00,,,7.00,63.00,,,,,
,41791,20,2015,,13.00,,,5.00,30.00,,,,,
,41799,20,2015,,4.00,,,1.00,6.00,,,,,
,41801,20,2015,,0.00,,,0.00,0.00,,,,,
,41797,20,2015,,0.00,,,0.00,0.00,,,,,
,41807,20,2015,,7.00,,,6.00,54.00,,,,,
,41872,20,2015,,0.75,,,0.75,5.25,,,,,
,41885,20,2015,,31.50,,,29.50,265.50,,,,,
,41006,18,2015,,4.00,,,4.00,20.00,,,,,
,41013,18,2015,,0.00,,,0.00,0.00,,,,,
,41016,18,2015,,0.00,,,0.00,0.00,,,,,
,41020,18,2015,,0.00,,,0.00,0.00,,,,,
,41026,18,2015,,0.00,,,0.00,0.00,,,,,
,41078,18,2015,,0.00,,,0.00,0.00,,,,,
,41132,18,2015,,0.00,,,0.00,0.00,,,,,
,41206,18,2015,,0.00,,,0.00,0.00,,,,,
,41244,18,2015,,1.00,,,1.00,5.00,,,,,
,41298,18,2015,,0.00,,,0.00,0.00,,,,,
,41306,18,2015,,0.00,,,0.00,0.00,,,,,
,41319,18,2015,,0.00,,,0.00,0.00,,,,,
,41349,18,2015,,0.00,,,0.00,0.00,,,,,
,41357,18,2015,,0.00,,,0.00,0.00,,,,,
,41359,18,2015,,6.00,,,6.00,20.00,,,,,
,41378,18,2015,,89.00,,,89.00,382.50,,,,,
,41396,18,2015,,20.00,,,20.00,65.25,,,,,
,41483,18,2015,,3.00,,,3.00,8.00,,,,,
