coas_codigo,coas_municipio,coas_anio,coas_cobertura,coas_tipo_poblacion,coas_num_personas
455,41306,2015,2,6,4
456,41319,2015,2,6,1
457,41349,2015,2,6,0
458,41357,2015,2,6,0
459,41359,2015,2,6,7
460,41378,2015,2,6,1
461,41396,2015,2,6,3
462,41483,2015,2,6,0
463,41001,2015,2,6,8
464,41503,2015,2,6,1
465,41518,2015,2,6,0
466,41524,2015,2,6,3
467,41530,2015,2,6,3
468,41548,2015,2,6,0
469,41551,2015,2,6,38
470,41615,2015,2,6,0
471,41660,2015,2,6,0
472,41668,2015,2,6,1
473,41676,2015,2,6,5
474,41770,2015,2,6,4
475,41791,2015,2,6,1
476,41799,2015,2,6,2
477,41801,2015,2,6,3
478,41797,2015,2,6,0
479,41807,2015,2,6,0
480,41872,2015,2,6,0
481,41885,2015,2,6,0
482,41006,2015,2,7,5
483,41013,2015,2,7,0
484,41016,2015,2,7,0
485,41020,2015,2,7,3
486,41026,2015,2,7,0
487,41078,2015,2,7,0
488,41132,2015,2,7,4
489,41206,2015,2,7,0
490,41244,2015,2,7,0
491,41298,2015,2,7,50
492,41306,2015,2,7,0
493,41319,2015,2,7,0
494,41349,2015,2,7,1
495,41357,2015,2,7,0
496,41359,2015,2,7,0
497,41378,2015,2,7,0
498,41396,2015,2,7,21
499,41483,2015,2,7,1
500,41001,2015,2,7,336
501,41503,2015,2,7,0
502,41518,2015,2,7,0
503,41524,2015,2,7,3
504,41530,2015,2,7,1
505,41548,2015,2,7,0
506,41551,2015,2,7,49
507,41615,2015,2,7,1
508,41660,2015,2,7,0
509,41668,2015,2,7,0
510,41676,2015,2,7,0
511,41770,2015,2,7,1
512,41791,2015,2,7,0
513,41799,2015,2,7,0
514,41801,2015,2,7,0
515,41797,2015,2,7,0
516,41807,2015,2,7,0
517,41872,2015,2,7,1
518,41885,2015,2,7,1
519,41006,2014,,1,3
520,41013,2014,,1,2
521,41016,2014,,1,1
522,41020,2014,,1,4
523,41026,2014,,1,0
524,41078,2014,,1,0
525,41132,2014,,1,8
526,41206,2014,,1,0
527,41244,2014,,1,5
528,41298,2014,,1,32
529,41306,2014,,1,65
530,41319,2014,,1,4
531,41349,2014,,1,140
532,41357,2014,,1,2342
533,41359,2014,,1,16
534,41378,2014,,1,850
535,41396,2014,,1,2800
536,41483,2014,,1,16
537,41001,2014,,1,219
538,41503,2014,,1,103
539,41518,2014,,1,0
540,41524,2014,,1,108
541,41530,2014,,1,102
542,41548,2014,,1,65
543,41551,2014,,1,1367
544,41615,2014,,1,416
545,41660,2014,,1,58
546,41668,2014,,1,317
547,41676,2014,,1,520
548,41770,2014,,1,24
549,41791,2014,,1,68
550,41799,2014,,1,7
551,41801,2014,,1,6
552,41797,2014,,1,18
553,41807,2014,,1,65
554,41872,2014,,1,144
555,41885,2014,,1,17
556,41006,2014,,2,2600
557,41013,2014,,2,255
558,41016,2014,,2,612
559,41020,2014,,2,1734
560,41026,2014,,2,97
561,41078,2014,,2,797
562,41132,2014,,2,2427
563,41206,2014,,2,1670
564,41244,2014,,2,22
565,41298,2014,,2,5631
566,41306,2014,,2,1364
567,41319,2014,,2,1190
568,41349,2014,,2,608
569,41357,2014,,2,579
570,41359,2014,,2,1221
571,41378,2014,,2,655
572,41396,2014,,2,2745
573,41483,2014,,2,267
574,41001,2014,,2,23581
575,41503,2014,,2,824
576,41518,2014,,2,282
577,41524,2014,,2,928
578,41530,2014,,2,715
579,41548,2014,,2,673
